"marca";"nome";"preco_antigo_reais";"preco_antigo_centavos";"preco_novo_reais";"preco_novo_centavos";"nota";"qtde_avaliacoes";"_fonte";"_data_coleta";"preco_antigo";"preco_novo"
"";"Kit 3 Tênis Masculino Prospect Fly Oferta Promoção + Relógio";219.0;90.0;138.0;90.0;4.4;34;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";219.9;138.9
"OLYMPIKUS";"Tênis Masculino Olympikus Original Academia Caminhada Rápido";349.0;90.0;118.0;90.0;3.6;17;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";349.9;118.9
"MIZUNO";"Tenis Esportivo Exclusivo Atividade Fisica Leve Confortavel";0.0;0.0;149.0;0.0;4.6;343;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;149.0
"MIZUNO";"Tênis Running Masculino Mizuno Prophecy 13 Branco";2.223;41.0;1.756;41.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";2633.0;2166.0
"EVOLTENN";"Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida";188.0;90.0;179.0;90.0;4.4;1577;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";188.9;179.9
"OLYMPIKUS";"Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012";0.0;0.0;173.0;0.0;4.7;2951;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;173.0
"DM DAMANDO";"Kit Tenis Confortavel Masculino P/academia Corrida + Relógio";78.0;90.0;74.0;90.0;4.6;216;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";78.9;74.9
"OLYMPIKUS";"Tênis Running Masculino Treino Olympikus Diffuse 5";370.0;46.0;326.0;46.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";370.46;326.46
"";"Tênis Esportivo On Shoes Masculino/feminino ";77.0;80.0;61.0;80.0;4.7;4753;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";77.8;61.8
"UNDER ARMOUR";"Under Armour Dagger Masculino Adultos";399.0;99.0;322.0;99.0;4.6;51;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";399.99;322.99
"TAYGRA";"Taygra Original Para Dança Confortável  Preto - Envio 24hs ";179.0;90.0;170.0;90.0;4.8;120;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";179.9;170.9
"NEW BALANCE";"Tênis New Balance Fresh Foam Arishi V4 Masculino";499.0;90.0;389.0;90.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";499.9;389.9
"PUMA";"Puma Viz-Tech Viz Runner V2 BDP Masculino Adultos";0.0;0.0;333.0;0.0;4.7;96;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;333.0
"NB";"Tênis Masculino New Balance 997s Sport Anatómico Macio ";209.0;99.0;195.0;99.0;4.6;11;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";209.99;195.99
"OLYMPIKUS";"Olympikus Corre Grafeno 2 Masculino Adultos";799.0;90.0;559.0;90.0;4.7;20;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";799.9;559.9
"";"Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort";0.0;0.0;52.0;0.0;4.6;753;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;52.0
"LYND";"Tênis Masculino Corrida Academia Caminhada Lynd- Grid 321";199.0;90.0;169.0;90.0;4.6;377;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";199.9;169.9
"FILA";"Fila Recovery Masculino Adultos";306.0;0.0;208.0;0.0;4.7;1983;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";306.0;208.0
"WM";"Tenis Masculino Feminino Olimp Exclusivo Pronta Entrega";199.0;99.0;97.0;99.0;4.4;53;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";199.99;97.99
"";"Kit Tênis Esportivo It Shoes Masculino + Relógio Digital";119.0;90.0;113.0;90.0;4.4;331;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";119.9;113.9
"OLYMPIKUS";"Olympikus Voa 2 Masculino Adultos";299.0;99.0;207.0;99.0;4.8;365;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";299.99;207.99
"MIZUNO";"Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida";529.0;90.0;369.0;90.0;5.0;4;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";529.9;369.9
"BLACK FREE";"Kit 2 Pares Tênis Black Free Evolution Masculino Promoção";0.0;0.0;219.0;0.0;4.5;649;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;219.0
"";"Tênis Masculino Academia Rixxon Leve Promoção Barato ";87.0;90.0;80.0;90.0;4.4;474;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";87.9;80.9
"DIX";" Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares";139.0;90.0;132.0;90.0;4.2;577;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";139.9;132.9
